Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2018-01-17 22:48:08;2018-01-18 07:09:08;0%;93%;;0;0;Normal;102.1;;0.0;0.0;25050.0;2104.2;2018-01-18 07:50:00;2018-01-18 08:05:00;false;0.0;32.0;No weather;
2018-01-21 23:57:15;2018-01-22 07:55:18;74%;0%;;0;0;Normal;101.8;;118.4;28682.8;24476.0;2772.7;2018-01-22 07:45:00;2018-01-22 08:00:00;true;2638.0;32.0;No weather;
2018-06-24 23:56:58;2018-06-25 00:36:58;0%;0%;;0;0;Normal;100.9;;0.0;0.0;384.1;48.0;2018-06-25 07:50:00;2018-06-25 08:05:00;false;0.0;32.0;No weather;
2018-07-30 23:01:53;2018-07-31 06:57:55;77%;0%;;0;0;Normal;101.8;;61.5;28562.9;22183.8;4094.0;2018-07-31 07:00:00;2018-07-31 07:15:00;true;1930.0;32.0;No weather;
2018-07-31 23:13:52;2018-08-01 06:57:42;76%;98%;;0;0;Normal;101.0;;100.3;27829.4;25510.3;556.6;2018-08-01 06:50:00;2018-08-01 07:05:00;true;2434.0;32.0;No weather;
2018-08-01 22:49:54;2018-08-02 07:01:34;76%;97%;;0;0;Normal;101.5;;122.7;29499.2;25565.9;2851.6;2018-08-02 07:00:00;2018-08-02 07:15:00;true;1093.0;32.0;No weather;
2018-08-02 22:54:50;2018-08-03 07:13:48;80%;97%;;0;0;Normal;101.8;;115.0;29937.6;22752.6;2095.6;2018-08-03 07:00:00;2018-08-03 07:15:00;true;3467.0;32.0;No weather;
2018-08-05 23:08:53;2018-08-06 07:06:29;76%;97%;;0;0;Normal;101.8;;128.8;28656.0;25121.7;1528.3;2018-08-06 07:00:00;2018-08-06 07:15:00;true;1934.0;32.0;No weather;
2018-08-06 22:52:49;2018-08-07 06:53:41;83%;96%;;0;0;Normal;101.5;;108.6;28852.2;24620.5;1346.4;2018-08-07 07:00:00;2018-08-07 07:15:00;true;2861.0;32.0;No weather;
2018-08-07 23:06:58;2018-08-08 07:03:52;79%;96%;;0;0;Normal;100.5;;119.1;28613.9;26706.3;1907.6;2018-08-08 06:50:00;2018-08-08 07:05:00;true;4459.0;32.0;No weather;
2018-08-08 22:47:27;2018-08-09 07:00:24;81%;96%;;0;0;Normal;100.8;;123.4;29577.5;27605.7;1971.8;2018-08-09 07:00:00;2018-08-09 07:15:00;true;2168.0;32.0;No weather;
2018-08-09 22:56:53;2018-08-10 06:56:34;85%;97%;;0;0;Normal;100.9;;109.5;28781.6;24272.5;1822.8;2018-08-10 07:00:00;2018-08-10 07:15:00;true;1701.0;32.0;No weather;
2018-08-12 22:44:47;2018-08-13 07:08:58;78%;97%;;0;0;Normal;101.6;;134.9;30251.1;26721.8;1714.2;2018-08-13 07:05:00;2018-08-13 07:20:00;true;1896.0;32.0;No weather;
2018-08-13 22:55:28;2018-08-14 07:04:53;80%;98%;;0;0;Normal;101.1;;125.6;29365.2;25743.5;2251.3;2018-08-14 07:05:00;2018-08-14 07:20:00;true;2714.0;32.0;No weather;
2018-08-14 22:45:00;2018-08-15 07:03:46;82%;98%;;0;0;Normal;100.3;;125.5;29925.6;23042.7;3192.1;2018-08-15 06:50:00;2018-08-15 07:05:00;true;3559.0;32.0;No weather;
2018-08-15 22:49:49;2018-08-16 06:49:59;76%;98%;;0;0;Normal;101.3;;132.2;28809.6;25832.6;1344.4;2018-08-16 07:00:00;2018-08-16 07:15:00;true;3410.0;32.0;No weather;
2018-08-16 22:58:12;2018-08-17 07:14:41;89%;97%;;0;0;Normal;101.7;;111.5;29788.7;27504.9;2283.8;2018-08-17 07:00:00;2018-08-17 07:15:00;true;4901.0;32.0;No weather;
2018-08-20 22:46:03;2018-08-21 07:02:08;95%;0%;;0;0;Normal;101.9;;97.0;29764.8;24804.0;3373.3;2018-08-21 07:00:00;2018-08-21 07:15:00;true;2702.0;32.0;No weather;
2018-08-22 22:58:57;2018-08-23 07:19:05;85%;96%;;0;0;Normal;100.8;;118.5;30008.2;27407.5;2600.7;2018-08-23 07:05:00;2018-08-23 07:20:00;true;1485.0;32.0;No weather;
2018-08-25 00:53:57;2018-08-25 08:37:48;99%;73%;;0;0;Normal;102.1;;51.0;27830.3;23377.4;1577.0;2018-08-25 09:05:00;2018-08-25 09:20:00;true;300.0;32.0;No weather;
2018-08-29 23:05:27;2018-08-30 07:08:28;69%;0%;;0;0;Normal;101.3;;149.8;28981.9;25214.2;1545.7;2018-08-30 07:05:00;2018-08-30 07:20:00;true;2635.0;32.0;No weather;
2018-08-30 22:59:30;2018-08-31 06:41:30;77%;95%;;0;0;Normal;101.8;;120.2;27720.2;20790.1;554.4;2018-08-31 07:05:00;2018-08-31 07:20:00;false;0.0;32.0;No weather;
2018-09-03 22:55:53;2018-09-04 06:58:45;99%;0%;;0;0;Normal;102.1;;71.1;28972.0;22984.5;3862.9;2018-09-04 07:00:00;2018-09-04 07:15:00;true;1825.0;32.0;No weather;
2018-09-04 23:00:45;2018-09-05 07:08:29;82%;98%;;0;0;Normal;101.4;;119.2;29264.8;24484.9;2048.5;2018-09-05 07:00:00;2018-09-05 07:15:00;true;1542.0;32.0;No weather;
2018-09-05 22:54:07;2018-09-06 07:19:08;86%;98%;;0;0;Normal;102.1;;116.2;30300.7;28381.7;1919.0;2018-09-06 07:05:00;2018-09-06 07:20:00;true;4569.0;32.0;No weather;
2018-09-11 23:37:25;2018-09-12 07:16:35;0%;0%;;0;0;Normal;101.3;;0.0;0.0;23049.9;3673.3;2018-09-12 07:15:00;2018-09-12 07:30:00;false;0.0;32.0;No weather;
2019-03-31 22:35:28;2019-04-01 06:56:24;92%;0%;;0;0;Normal;100.4;;98.9;30056.3;22943.0;6311.8;2019-04-01 06:55:00;2019-04-01 07:10:00;true;2014.0;32.0;No weather;
2019-04-02 22:44:57;2019-04-03 06:52:58;0%;98%;;0;0;Normal;101.7;;0.0;0.0;24302.7;4977.7;2019-04-03 06:55:00;2019-04-03 07:10:00;false;0.0;32.0;No weather;
2019-04-03 22:46:05;2019-04-04 06:55:49;90%;99%;;0;0;Normal;101.4;;98.2;29384.0;25466.2;2938.4;2019-04-04 06:55:00;2019-04-04 07:10:00;true;7902.0;32.0;No weather;
2019-04-07 22:34:56;2019-04-08 06:47:57;95%;0%;;0;0;Normal;101.0;;86.8;29581.1;28989.5;591.6;2019-04-08 06:55:00;2019-04-08 07:10:00;false;0.0;32.0;No weather;
2019-04-08 22:14:05;2019-04-09 06:47:22;93%;97%;;0;0;Normal;99.8;;100.0;30797.3;27717.6;2258.5;2019-04-09 06:50:00;2019-04-09 07:05:00;true;4419.0;32.0;No weather;
